Url,Date,Author,Title,Publisher,Type,Language,Extra,Artwork
http://artnet.tumblr.com/post/94524833933/for-those-traveling-to-chinas-largest-city-read,12/08/14,Sam Gaskin,Shanghai Gallery Beat,Artnet,,English,,The Great Rejuvenation
http://furtherfield.org/features/interviews/space-art-interview-tobias-rosenberger,19/03/14,Eva Kekou,The Space of Art: An Interview with Tobias Rosenberger,Furtherfield,Interview,English,,General
http://tobiasrosenberger.de/Download/rp_11_01.jpg,11/01/14,Verena Patel,Videokunst zu Musik von Bach,Rheinische Post,Review,German,,Coda
http://www.deutschlandradiokultur.de/choreografie-die-verlorene-symmetrie.1013.de.html?dram%3Aarticle_id=274114,08/01/14,Stefan Keim,Die verlorene Symmetrie,Deutschlandradio Kultur,Review,German,,Coda
https://www.youtube.com/watch?v=6bLaUirdxPw,30/12/12,,,Channel 34 Ukraine,TV-Interview,Ukraine,,The First Twenty Years
http://tobiasrosenberger.de/Download/oscars_dp_low.pdf,01/12/12,,,Oscar Millionaire's Flair,Review,Ukraine,,The First Twenty Years
http://www.11tv.dp.ua/news/dp/2012/12/03/21357.html,03/12/12,,????????? ???????? ?????? ??????????? ?????? ? ??????????????? ????????????? ?????????? ,,,Ukraine,,The First Twenty Years
http://moveforward.werkleitz.de/sites/default/files/laehnemann_rosenberger_engl.pdf,05/10/12,Ingmar Lähnemann,,Move Forward,Catalogue Text,German,English Translation,The An-Archic Device
,01/05/12,Adriana Lara,Mexico City–based artist Adriana Lara tallies her Top Ten,Artforum,,English,,Cold Lights
http://tobiasrosenberger.de/Download/KUL02%209464811.pdf,20/04/12,Stefan Reis,Die Stunden der Erleuchtung,Main Echo,,German,,Luminale 2012
http://tobiasrosenberger.de/Download/mda_low.pdf,05/03/12,Tobias Rosenberger,Projektion 1675 / Leibnizmonument (Mediale Skulptur-Stereo-Tonspur + Guckkasten),Theaomai - Studien zu den performativen Künsten (Book 4),Essay,German,,Projektion 1675
